,good,bad
302,"""Pinocchio, come up to me!"" shouted Harlequin.  ""Cometo the arms of your wooden brothers!""","""Pinocchio, come up to me!"" s"
303,"At such a loving invitation, Pinocchio, with one leapfrom the back of the orchestra, found himself in the frontrows.  With another leap, he was on the orchestra leader'shead.  With a third, he landed on the stage.","At such a loving invitation, Pinocchio, with on"
304,"It is impossible to describe the shrieks of joy, the warmembraces, the knocks, and the friendly greetings withwhich that strange company of dramatic actors andactresses received Pinocchio.","It is impossible to describe the shrieks of joy, the warmembraces, the knocks, and the friendly gr"
305,"It was a heart-rending spectacle, but the audience,seeing that the play had stopped, became angry and beganto yell:","It was a heart-rending spectacle, but the audi"
306,"""The play, the play, we want the play!""","""The play, the play, we want the p"
307,"The yelling was of no use, for the Marionettes, insteadof going on with their act, made twice as much racket asbefore, and, lifting up Pinocchio on their shoulders, carriedhim around the stage in triumph.","The yelling was of no use, for the Marionettes, insteadof going on with their act, made"
308,"At that very moment, the Director came out of hisroom.  He had such a fearful appearance that one lookat him would fill you with horror.  His beard was asblack as pitch, and so long that it reached from his chindown to his feet.  His mouth was as wide as an oven, histeeth like yellow fangs, and his eyes, two glowing redcoals.  In his huge, hairy hands, a long whip, made ofgreen snakes and black cats' tails twisted together, swishedthrough the air in a dangerous way.","At that very moment, the Director came out of hisroom.  He had such a fearful appearance that one lookat him would fill you with horror.  His beard was asblack as pitch, and so long that it reached from his chindown to his feet.  His mouth was as wide as an oven, histeeth like yellow fangs, and his eyes, two glowing redcoals.  In his huge, hairy hands, a long whip, made"
309,"At the unexpected apparition, no one dared even tobreathe.  One could almost hear a fly go by.  Those poorMarionettes, one and all, trembled like leaves in a storm.","At the unexpected apparition, no one dared even tobreathe.  One could almost hear a fly go by.  Those poorMarionettes, one and "
310,"""Why have you brought such excitement into mytheater;"" the huge fellow asked Pinocchio with the voiceof an ogre suffering with a cold.","""Why have you brought such excitement into mytheater;"" the huge fellow asked Pinocchio with the voiceof an o"
311,"""Believe me, your Honor, the fault was not mine.""","""Believe me"
312,"""Enough!  Be quiet!  I'll take care of you later.""","""Enough!  Be quiet!  I'll take care of"
313,"As soon as the play was over, the Director went tothe kitchen, where a fine big lamb was slowly turningon the spit.  More wood was needed to finish cooking it.He called Harlequin and Pulcinella and said to them:","As soon as the play was over, the Director went tothe kitchen, where a fine big lamb was slowly turningon the spit.  More wood was needed to finish cooking it.He called Harlequin and Pulcinella an"
314,"""Bring that Marionette to me!  He looks as if he weremade of well-seasoned wood.  He'll make a fine fire forthis spit.""","""Bring that Marionette to me!  He looks as i"
315,"Harlequin and Pulcinella hesitated a bit.  Then,frightened by a look from their master, they left thekitchen to obey him.  A few minutes later they returned,carrying poor Pinocchio, who was wriggling and squirminglike an eel and crying pitifully:","Harlequin and Pulcinella hesitated a bit.  Then,frightened by a look from their master, they left thekitchen to obey him.  A few minutes later they returned,"
316,"""Father, save me!  I don't want to die!  I don't want to die!""",""""
317,CHAPTER 11,CHA
318,"Fire Eater sneezes and forgives Pinocchio,who saves his friend, Harlequin, from death",Fire Eat
319,"In the theater, great excitement reigned.",In the the
320,"Fire Eater (this was really his name) was very ugly,but he was far from being as bad as he looked.  Proof ofthis is that, when he saw the poor Marionette beingbrought in to him, struggling with fear and crying, ""Idon't want to die!  I don't want to die!"" he felt sorry forhim and began first to waver and then to weaken.  Finally,he could control himself no longer and gave a loud sneeze.","Fire Eater (this was really his name) was very ugly,but he was far from being as bad as he looked.  Proof ofthis is that, when he saw the poor"
321,"At that sneeze, Harlequin, who until then had beenas sad as a weeping willow, smiled happily and leaningtoward the Marionette, whispered to him:","At that sneeze, Harlequin, who until then had beenas sad as a weeping willow, smiled happily and leaningtoward the Marionette, wh"
322,"""Good news, brother mine!  Fire Eater has sneezedand this is a sign that he feels sorry for you.You are saved!""","""Good news, br"
323,"For be it known, that, while other people, when sadand sorrowful, weep and wipe their eyes, Fire Eater, onthe other hand, had the strange habit of sneezing eachtime he felt unhappy.  The way was just as good as anyother to show the kindness of his heart.",For be i
324,"After sneezing, Fire Eater, ugly as ever, cried to Pinocchio:","After sneezing, Fire Eater, ugly as ev"
325,"""Stop crying!  Your wails give me a funny feelingdown here in my stomach and--E--tchee!--E--tchee!""Two loud sneezes finished his speech.","""Stop crying!  Your wails give me a funny feelingdown here in my stomach and--E--tchee!--E--tchee!""Two loud sneezes fini"
326,"""God bless you!"" said Pinocchio.","""God bless you!"" said Pino"
327,"""Thanks!  Are your father and mother still living?""demanded Fire Eater.","""Thanks!  Are yo"
328,"""My father, yes.  My mother I have never known.""","""My father, "
329,"""Your poor father would suffer terribly if I were touse you as firewood.  Poor old man!  I feel sorry forhim!  E--tchee!  E--tchee!  E--tchee!"" Three more sneezessounded, louder than ever.","""Your poor father would suffer terribly if I were touse you as f"
330,"""God bless you!"" said Pinocchio.","""God bless you!"" said Pinocc"
331,"""Thanks!  However, I ought to be sorry for myself,too, just now.  My good dinner is spoiled.  I have nomore wood for the fire, and the lamb is only half cooked.Never mind!  In your place I'll burn some other Marionette.Hey there! Officers!""","""Thanks!  However, I ought to be sorry for myself,too, just now.  My good dinner is spoiled.  I have nomore wood for the fire, and the lamb is only half cooked.Never "
332,"At the call, two wooden officers appeared, long andthin as a yard of rope, with queer hats on their headsand swords in their hands.","At the call, two wooden officers appeared, long andthin as a yard of rope, with queer hats on their headsand swords i"
333,Fire Eater yelled at them in a hoarse voice:,Fire 
334,"""Take Harlequin, tie him, and throw him on the fire.I want my lamb well done!""","""Take Harlequin, tie him, and throw him on the fire.I want my lamb w"
335,Think how poor Harlequin felt!  He was so scaredthat his legs doubled up under him and he fell to the floor.,Think how poor Harlequin felt!  He was so scaredthat his legs doubled up 
336,"Pinocchio, at that heartbreaking sight, threw himselfat the feet of Fire Eater and, weeping bitterly, askedin a pitiful voice which could scarcely be heard:","Pinocchio, at that heartbreaking sight, threw himselfat the feet of Fire Ea"
337,"""Have pity, I beg of you, signore!""","""Have pity, I beg "
338,"""There are no signori here!""","""There are no signo"
339,"""Have pity, kind sir!""","""Have p"
340,"""There are no sirs here!""","""There are no si"
341,"""Have pity, your Excellency!""","""Have pit"
342,"On hearing himself addressed as your Excellency, theDirector of the Marionette Theater sat up very straightin his chair, stroked his long beard, and becoming suddenlykind and compassionate, smiled proudly as he said to Pinocchio:","On hearing himself addressed as your Excellency, theDirector of the Marionette Theater sat up very straightin his chair, stroked his long beard, and becom"
343,"""Well, what do you want from me now, Marionette?""","""Well, what do you want fr"
344,"""I beg for mercy for my poor friend, Harlequin, whohas never done the least harm in his life.""","""I beg for mercy "
345,"""There is no mercy here, Pinocchio.  I have sparedyou.  Harlequin must burn in your place.  I am hungryand my dinner must be cooked.""","""There is no mercy here, Pinocchi"
346,"""In that case,"" said Pinocchio proudly, as he stoodup and flung away his cap of dough, ""in that case, myduty is clear.  Come, officers!  Tie me up and throw meon those flames.  No, it is not fair for poor Harlequin,the best friend that I have in the world, to die in my place!""","""In that case,"" said Pinocchio proudly, as he stoodup and flung away his cap of dough, ""in that case, myduty is clear.  Come, officers!  Tie me up and throw meon those flames.  No, it is not fair for poor Harlequ"
347,"These brave words, said in a piercing voice, made allthe other Marionettes cry.  Even the officers, who weremade of wood also, cried like two babies.","These brave words, said in a piercing voice, made allthe other Marionettes cry.  Even the officers, who weremade of w"
348,"Fire Eater at first remained hard and cold as a pieceof ice; but then, little by little, he softened and began tosneeze.  And after four or five sneezes, he opened widehis arms and said to Pinocchio:","Fire Eater at first remained hard and cold as a pieceof ice; but then, little by little, he softened and began tos"
349,"""You are a brave boy!  Come to my arms and kiss me!""","""You"
350,"Pinocchio ran to him and scurrying like a squirrel up thelong black beard, he gave Fire Eater a loving kiss on thetip of his nose.","Pinocchio ran to him and scurrying like a squirrel up thelong black beard, he gave Fire Eater a lov"
351,"""Has pardon been granted to me?"" asked poorHarlequin with a voice that was hardly a breath.","""H"
352,"""Pardon is yours!"" answered Fire Eater; and sighingand wagging his head, he added:  ""Well, tonight I shallhave to eat my lamb only half cooked, but beware thenext time, Marionettes.""","""Pardon is yours!"" answered Fire Eater; and sighingand wagging his head, he added:  ""Well, tonight I shallhave to eat my lamb "
353,"At the news that pardon had been given, theMarionettes ran to the stage and, turning on all the lights,they danced and sang till dawn.","At the news that pardon had been given, theMarionettes ran to the stage and, turning on all the lights,they danced and s"
354,CHAPTER 12,CHAPTER 1
355,"Fire Eater gives Pinocchio five gold pieces for his father, Geppetto;but the Marionette meets a Fox and a Cat and follows them",Fire Eater gives Pinocchio five gold piece
356,The next day Fire Eater called Pinocchio aside and asked him:,The next day Fire Eat
357,"""What is your father's name?""","""What is your father's "
358,"""Geppetto.""","""Ge"
359,"""And what is his trade?""","""And what is his trade?"
360,"""He's a wood carver.""","""He's a wood car"
361,"""Does he earn much?""","""Does he e"
362,"""He earns so much that he never has a penny in hispockets.  Just think that, in order to buy me an A-B-Cbook for school, he had to sell the only coat he owned, acoat so full of darns and patches that it was a pity.""","""He earns so much that he never has a penny in hispockets.  Just think that, in order to buy me an A-B-Cbook for school, he had to sell the only coat he owned, acoat so full of darns and patches that it was a pi"
363,"""Poor fellow!  I feel sorry for him.  Here, take thesefive gold pieces.  Go, give them to him with my kindest regards.""","""Poor fellow!  I feel sorry for him.  Here, take thesefive gold pieces.  Go, "
364,"Pinocchio, as may easily be imagined, thanked hima thousand times.  He kissed each Marionette in turn,even the officers, and, beside himself with joy, set out onhis homeward journey.","Pinocchio, as may easily be imagined, thanked hima thousand times.  He kissed each Mari"
365,"He had gone barely half a mile when he met a lameFox and a blind Cat, walking together like two goodfriends.  The lame Fox leaned on the Cat, and the blindCat let the Fox lead him along.","He had gone barely half a mile when he met a lameFox and a blind Cat, walking together like two goodfriends.  The lame Fox leaned on the Cat, and the blindCat let the Fox lead him "
366,"""Good morning, Pinocchio,"" said the Fox, greeting himcourteously.","""Good morning, Pinocchio,"" said the Fox, greeting himcour"
367,"""How do you know my name?"" asked the Marionette.","""How do you know my name?"" asked the Marionette"
368,"""I know your father well.""","""I know your father w"
369,"""Where have you seen him?""","""Where have you seen hi"
370,"""I saw him yesterday standing at the door of his house.""","""I saw him yesterday sta"
371,"""And what was he doing?""","""And what was"
372,"""He was in his shirt sleeves trembling with cold.""","""He was in his shirt sleeves trembling wi"
373,"""Poor Father!  But, after today, God willing, he willsuffer no longer.""","""Poor Father!  But, after "
374,"""Why?""","""Why?"
375,"""Because I have become a rich man.""","""Because I have "
376,"""You, a rich man?"" said the Fox, and he began to laughout loud.  The Cat was laughing also, but tried to hide itby stroking his long whiskers.","""You, a rich man?"" said the Fox, and he began to laughout loud.  The Cat was laughing also, "
377,"""There is nothing to laugh at,"" cried Pinocchio angrily.""I am very sorry to make your mouth water, but these,as you know, are five new gold pieces.""","""There is nothing to laugh at,"" cried "
378,And he pulled out the gold pieces which Fire Eaterhad given him.,And he pulled out the gold pieces which Fire Eaterhad give
379,"At the cheerful tinkle of the gold, the Fox unconsciouslyheld out his paw that was supposed to be lame, and theCat opened wide his two eyes till they looked like livecoals, but he closed them again so quickly that Pinocchiodid not notice.","At the cheerful tinkle of the gold, the Fox unconsciouslyheld out his paw that was supposed to be lame, and theCat opened wide hi"
380,"""And may I ask,"" inquired the Fox, ""what you aregoing to do with all that money?""","""And may I ask,"" inquired the Fox, ""what you aregoing to do"
381,"""First of all,"" answered the Marionette, ""I want tobuy a fine new coat for my father, a coat of gold andsilver with diamond buttons; after that, I'll buy an A-B-Cbook for myself.""","""First of all,"" answered the Marionette, ""I want tobuy a fine new coat for my father, a coat of gold andsilver with diamond button"
382,"""For yourself?""","""For yourself?"
383,"""For myself.  I want to go to school and study hard.""","""For myself"
384,"""Look at me,"" said the Fox.  ""For the silly reason ofwanting to study, I have lost a paw.""","""Look at me,"" said the Fox. "
385,"""Look at me,"" said the Cat.  ""For the same foolish reason,I have lost the sight of both eyes.""","""Look at m"
386,"At that moment, a Blackbird, perched on the fencealong the road, called out sharp and clear:",At that
387,"""Pinocchio, do not listen to bad advice.  If you do,you'll be sorry!""","""Pinocchio, do not listen to bad advice. "
388,"Poor little Blackbird!  If he had only kept his wordsto himself!  In the twinkling of an eyelid, the Cat leapedon him, and ate him, feathers and all.",Poor little Blackbi
389,"After eating the bird, he cleaned his whiskers, closedhis eyes, and became blind once more.","After eating the bird, he cleaned his whiskers, closedhis eyes, and became "
390,"""Poor Blackbird!"" said Pinocchio to the Cat.""Why did you kill him?""","""Poor Blackbird!"" said Pinocchio to the Cat.""Why did you kill him"
391,"""I killed him to teach him a lesson.  He talks too much.Next time he will keep his words to himself.""","""I killed him to teach him a lesson.  He talks too much.Next time he will keep his words to him"
392,"By this time the three companions had walked a longdistance.  Suddenly, the Fox stopped in his tracks and,turning to the Marionette, said to him:",By
393,"""Do you want to double your gold pieces?""","""Do you want to double your gold pie"
394,"""What do you mean?""","""What do you mea"
395,"""Do you want one hundred, a thousand, two thousandgold pieces for your miserable five?""","""Do you want one hundred, a tho"
396,"""Yes, but how?""","""Yes, but how"
397,"""The way is very easy.  Instead of returning home,come with us.""","""The way is very easy.  Instead of returning home,come wit"
398,"""And where will you take me?""","""And whe"
399,"""To the City of Simple Simons.""","""To the City of Simple "
400,Pinocchio thought a while and then said firmly:,Pinocchio thought a while and then said f
401,"""No, I don't want to go.  Home is near, and I'm goingwhere Father is waiting for me.  How unhappy he mustbe that I have not yet returned!  I have been a bad son,and the Talking Cricket was right when he said that adisobedient boy cannot be happy in this world.  I havelearned this at my own expense.  Even last night inthe theater, when Fire Eater. . . Brrrr!!!!! . . .The shivers run up and down my back at the mere thought of it.""","""No, I don't want to go.  Home is near, and I'm goingwhere Father is waiting for me.  How unhappy he mustbe that I have not yet returned!  I have been a bad son,and the Talking Cricket was right when he said that adisobedient boy cannot be happy in this world.  I havelearned this at my own expense.  Even last night inthe theater, when Fire Eater. . . Brrrr!!!!! . . .The shivers run up and down my back at the mere thou"
402,"""Well, then,"" said the Fox, ""if you really want to go home,go ahead, but you'll be sorry.""","""Well, then,"" said the Fox, ""if you really want to go home,go ahead, but you'll be sorry."
403,"""You'll be sorry,"" repeated the Cat.","""You'll be sorry,"" re"
404,"""Think well, Pinocchio, you are turning your back on Dame Fortune.""","""Think well, Pinocchio, you are turning your back "
405,"""On Dame Fortune,"" repeated the Cat.","""On Dame Fortu"
406,"""Tomorrow your five gold pieces will be two thousand!""","""Tomorrow your five gold pieces will be two thous"
407,"""Two thousand!"" repeated the Cat.","""Two thousand!"" repeate"
408,"""But how can they possibly become so many?"" askedPinocchio wonderingly.","""But how can they possibly beco"
409,"""I'll explain,"" said the Fox.  ""You must know that,just outside the City of Simple Simons, there is a blessedfield called the Field of Wonders.  In this field you diga hole and in the hole you bury a gold piece.  After coveringup the hole with earth you water it well, sprinklea bit of salt on it, and go to bed.  During the night, thegold piece sprouts, grows, blossoms, and next morningyou find a beautiful tree, that is loaded with gold pieces.""","""I'll explain,"" said the Fox.  ""You must know that,just outside the City of Simple Simons, there is a blessedfield called the Field of Wonders.  In this field you diga hole and in the hole you bury a gold piece.  After coveringup the hole with earth you water it well, sprinklea bit of salt on it, and go to bed.  During the night, thegold piece sprouts, grows, blossoms, "
410,"""So that if I were to bury my five gold pieces,"" criedPinocchio with growing wonder, ""next morning I shouldfind--how many?""","""So that if I were to bury my five gold pieces,"" criedPinocchio with growing wo"
411,"""It is very simple to figure out,"" answered the Fox.""Why, you can figure it on your fingers!  Granted thateach piece gives you five hundred, multiply five hundredby five.  Next morning you will find twenty-five hundrednew, sparkling gold pieces.""","""It is very simple to figure out,"" answered the Fox.""Why, you can figure it on your fingers!  Granted thateach piece gives you five hundred, multiply five hundredby five.  Next mo"
412,"""Fine!  Fine!"" cried Pinocchio, dancing about with joy.""And as soon as I have them, I shall keep two thousandfor myself and the other five hundred I'll give to you two.""","""Fine!  Fine!"" cried Pinocchio, dancing about with joy.""And as soon as I have them, I shall keep two thousandfor myself and the other f"
413,"""A gift for us?"" cried the Fox, pretending to be insulted.""Why, of course not!""","""A gift for us?"" cried the Fo"
414,"""Of course not!"" repeated the Cat.","""Of cou"
415,"""We do not work for gain,"" answered the Fox.""We work only to enrich others.""","""We do not work for gain,"" answered the "
416,"""To enrich others!"" repeated the Cat.",""""
417,"""What good people,"" thought Pinocchio to himself.And forgetting his father, the new coat, the A-B-C book,and all his good resolutions, he said to the Fox and to the Cat:","""What good people,"" thought Pinocchio to himself.And forgetting his father, the new coat, the A-B-C book,and all his good resolutions, he said"
418,"""Let us go.  I am with you.""","""Let "
419,CHAPTER 13,CHA
420,The Inn of the Red Lobster,The Inn o
421,"Cat and Fox and Marionette walked and walked and walked.At last, toward evening, dead tired, they came to theInn of the Red Lobster.",Cat a
422,"""Let us stop here a while,"" said the Fox, ""to eat a biteand rest for a few hours.  At midnight we'll start out again,for at dawn tomorrow we must be at the Field of Wonders.""","""Let us stop here a while,"" said the Fox, ""to eat a biteand rest for a few hours.  At midnight we'll start out again,for at dawn tomorrow we must be at the F"
423,"They went into the Inn and all three sat down at thesame table.  However, not one of them was very hungry.",They went into the Inn and all three sat down at thesame table.  Howe
424,"The poor Cat felt very weak, and he was able toeat only thirty-five mullets with tomato sauce and fourportions of tripe with cheese.  Moreover, as he was soin need of strength, he had to have four more helpings ofbutter and cheese.","The poor Cat felt very weak, and he was able toeat only"
425,"The Fox, after a great deal of coaxing, tried his bestto eat a little.  The doctor had put him on a diet, and hehad to be satisfied with a small hare dressed with a dozenyoung and tender spring chickens.  After the hare, heordered some partridges, a few pheasants, a couple ofrabbits, and a dozen frogs and lizards.  That was all.He felt ill, he said, and could not eat another bite.","The Fox, after a great deal of coaxing, tried his bestto eat a little.  The doctor had put him on a diet, and hehad to be satisfied with a small hare d"
426,"Pinocchio ate least of all.  He asked for a bite of breadand a few nuts and then hardly touched them.  The poorfellow, with his mind on the Field of Wonders, wassuffering from a gold-piece indigestion.",Pinocchio ate least of all.  He ask
427,"Supper over, the Fox said to the Innkeeper:","Supper over, the Fox said to the Inn"
428,"""Give us two good rooms, one for Mr. Pinocchio andthe other for me and my friend.  Before starting out,we'll take a little nap.  Remember to call us at midnightsharp, for we must continue on our journey.""","""Give us two good rooms, one for Mr. Pinocchio andthe other for me and my friend.  Before starting out,we'll take a little nap.  Remember to call us at midnightsharp, for we m"
429,"""Yes, sir,"" answered the Innkeeper, winking in a knowing wayat the Fox and the Cat, as if to say, ""I understand.""","""Yes, sir,"" answered the Innkeeper, winking in a knowing wayat the Fox and the Cat, as if"
430,"As soon as Pinocchio was in bed, he fell fast asleepand began to dream.  He dreamed he was in the middleof a field.  The field was full of vines heavy with grapes.The grapes were no other than gold coins which tinkledmerrily as they swayed in the wind.  They seemed tosay, ""Let him who wants us take us!""",As soon as Pinocchio was in b
431,"Just as Pinocchio stretched out his hand to take ahandful of them, he was awakened by three loud knocks atthe door.  It was the Innkeeper who had come to tell himthat midnight had struck.",Just as Pinocchio stretched out hi
432,"""Are my friends ready?"" the Marionette asked him.","""Are my friends ready?"" the Marionette ask"
433,"""Indeed, yes!  They went two hours ago.""","""Inde"
434,"""Why in such a hurry?""","""Why in such "
435,"""Unfortunately the Cat received a telegram whichsaid that his first-born was suffering from chilblainsand was on the point of death.  He could not even waitto say good-by to you.""","""Unfortunately the Cat received a telegram whichsaid that his first-born was suffering from chilblainsand was on the point of death.  He could not even waitto say good-by to "
436,"""Did they pay for the supper?""","""Did they pay for the su"
437,"""How could they do such a thing?  Being people ofgreat refinement, they did not want to offend you sodeeply as not to allow you the honor of paying the bill.""","""How could they"
438,"""Too bad!  That offense would have been more thanpleasing to me,"" said Pinocchio, scratching his head.","""Too bad!  That offense would have been more tha"
439,"""Where did my good friends say they would wait for me?"" he added.","""Where did my good friends say they"
440,"""At the Field of Wonders, at sunrise tomorrow morning.""","""At the Field of Wonders, at "
441,Pinocchio paid a gold piece for the three suppers andstarted on his way toward the field that was to makehim a rich man.,Pinocchio paid a gold pie
442,"He walked on, not knowing where he was going, forit was dark, so dark that not a thing was visible.  Roundabout him, not a leaf stirred.  A few bats skimmed hisnose now and again and scared him half to death.  Onceor twice he shouted, ""Who goes there?"" and the far-awayhills echoed back to him, ""Who goes there?  Who goesthere?  Who goes. . . ?""","He walked on, not knowing where he was going, forit was dark, so dark that not a thing was visible.  Roundabout him, not a leaf stirred.  A few bats skimmed hisnose now and again and scared him half to death.  Onceor twice he shouted, ""Who goes there?"" and the far-awayhills"
443,"As he walked, Pinocchio noticed a tiny insectglimmering on the trunk of a tree, a small being that glowedwith a pale, soft light.","As he walked, Pinocchio noticed a tiny insectglimmering on the trunk of a tree, "
444,"""Who are you?"" he asked.","""Who are you?"" he asked"
445,"""I am the ghost of the Talking Cricket,"" answered thelittle being in a faint voice that sounded as if it came froma far-away world.","""I am the ghost of the Talking Cricket,"" answered theli"
446,"""What do you want?"" asked the Marionette.","""What do y"
447,"""I want to give you a few words of good advice.Return home and give the four gold pieces you haveleft to your poor old father who is weeping because hehas not seen you for many a day.""","""I want to gi"
448,"""Tomorrow my father will be a rich man, for thesefour gold pieces will become two thousand.""","""Tomorrow my father will be a rich man, for thesefour gold pie"
449,"""Don't listen to those who promise you wealth overnight,my boy.  As a rule they are either fools or swindlers!Listen to me and go home.""","""Don't listen to those who promise you wealth overnight,my boy.  As a rule they are either fools or swi"
450,"""But I want to go on!""","""But I want to go"
451,"""The hour is late!""",""""
452,"""I want to go on.""","""I"
453,"""The night is very dark.""","""The night is very "
454,"""I want to go on.""","""I"
455,"""The road is dangerous.""","""The road is dange"
456,"""I want to go on.""","""I want to go on"
457,"""Remember that boys who insist on having their own way,sooner or later come to grief.""","""Remember that boys who insist on having their own way,sooner or l"
458,"""The same nonsense.  Good-by, Cricket.""","""The same nonsense.  Good-by, Cric"
459,"""Good night, Pinocchio, and may Heaven preserve youfrom the Assassins.""","""Good night, Pinocchio, and may Heaven preserve youfrom the Assassi"
460,"There was silence for a minute and the light of theTalking Cricket disappeared suddenly, just as if someonehad snuffed it out.  Once again the road was plungedin darkness.",There was silence for a minute and the lig
461,CHAPTER 14,CHAPTER 1
462,"Pinocchio, not having listened to the good adviceof the Talking Cricket, falls into the hands of the Assassins","Pinocchio, not having listened to the good adviceof the Talking Cricket, falls into the "
463,"""Dear, oh, dear!  When I come to think of it,"" said theMarionette to himself, as he once more set out on hisjourney, ""we boys are really very unlucky.  Everybodyscolds us, everybody gives us advice, everybody warns us.If we were to allow it, everyone would try to be fatherand mother to us; everyone, even the Talking Cricket.Take me, for example.  Just because I would not listen tothat bothersome Cricket, who knows how many misfortunesmay be awaiting me!  Assassins indeed!  At leastI have never believed in them, nor ever will.  To speaksensibly, I think assassins have been invented by fathersand mothers to frighten children who want to run awayat night.  And then, even if I were to meet them onthe road, what matter?  I'll just run up to them, and say,`Well, signori, what do you want?  Remember that youcan't fool with me!  Run along and mind your business.'At such a speech, I can almost see those poor fellowsrunning like the wind.  But in case they don't run away,I can always run myself. . .""","""Dear, oh, dear!  When I come to think of it,"" said theMarionette to himself, as he once more set out on hisjourney, ""we boys are really very unlucky.  Everybodyscolds us, everybody gives us advice, everybody warns us.If we were to allow it, everyone would try to be fatherand mother to us; everyone, even the Talking Cricket.Take me, for example.  Just because I would not listen tothat bothersome Cricket, who knows how many misfortunesmay be awaiting me!  Assassins indeed!  At leastI have never believed in them, nor ever will.  To speaksensibly, I think assassins have been invented by fathersand mothers to frighten children who want to run awayat night.  And then, even if I were to meet them onth"
464,"Pinocchio was not given time to argue any longer, for he thoughthe heard a slight rustle among the leaves behind him.","Pinocchio was not given time to argue any longer, for he thoughthe heard a "
465,"He turned to look and behold, there in the darknessstood two big black shadows, wrapped from head to footin black sacks.  The two figures leaped toward him assoftly as if they were ghosts.",He turned to look and behold
466,"""Here they come!"" Pinocchio said to himself, and,not knowing where to hide the gold pieces, he stuck allfour of them under his tongue.","""Here they co"
467,"He tried to run away, but hardly had he taken a step,when he felt his arms grasped and heard two horrible,deep voices say to him:  ""Your money or your life!""","He tried to run away, but hardly had he tak"
468,"On account of the gold pieces in his mouth, Pinocchiocould not say a word, so he tried with head and handsand body to show, as best he could, that he was only apoor Marionette without a penny in his pocket.","On account of the gold pieces in his mouth, Pinocchiocould not say a word, so he tried with head and handsand body to show, as best he could, that he was only apoor Marionette without a penny in "
469,"""Come, come, less nonsense, and out with your money!""cried the two thieves in threatening voices.","""Come, come, less nonsense, and o"
470,"Once more, Pinocchio's head and hands said, ""I haven'ta penny.""","Once more, Pinocchio's head an"
471,"""Out with that money or you're a dead man,"" said thetaller of the two Assassins.","""Out with that money or you're a"
472,"""Dead man,"" repeated the other.","""Dead man"
473,"""And after having killed you, we will kill your father also.""","""And after hav"
474,"""Your father also!""","""Your fa"
475,"""No, no, no, not my Father!"" cried Pinocchio, wild with terror;but as he screamed, the gold pieces tinkled together in his mouth.","""No, no, no, "
476,"""Ah, you rascal!  So that's the game!  You have themoney hidden under your tongue.  Out with it!""","""Ah, you rascal!  So that's the game!  You have themoney hidden under your ton"
477,But Pinocchio was as stubborn as ever.,But Pi
478,"""Are you deaf?  Wait, young man, we'll get it fromyou in a twinkling!""","""Are you deaf?  Wait, young man, we'll get it"
479,"One of them grabbed the Marionette by the nose andthe other by the chin, and they pulled him unmercifullyfrom side to side in order to make him open his mouth.",One of them grabbed the Marionette by the nose andthe 
480,All was of no use.  The Marionette's lips might havebeen nailed together.  They would not open.,All was of no use. 
481,"In desperation the smaller of the two Assassins pulledout a long knife from his pocket, and tried to pry Pinocchio'smouth open with it.","In desperation the smaller of the two Assassins pulledout a long knife from his pocket, and "
482,"Quick as a flash, the Marionette sank his teeth deepinto the Assassin's hand, bit it off and spat it out.  Fancyhis surprise when he saw that it was not a hand, but acat's paw.","Quick as a flash, the Marionette sank his teeth deepinto the Assassin's hand, bit it off and spat it out.  Fancyhis surprise when "
483,"Encouraged by this first victory, he freed himself fromthe claws of his assailers and, leaping over the bushesalong the road, ran swiftly across the fields.  His pursuerswere after him at once, like two dogs chasing a hare.","Encouraged by this first victory, he freed himself fromthe claws of his assailers and, leaping over the bushesalong the road, ran swiftly across the fields.  His pursuerswere "
484,"After running seven miles or so, Pinocchio was well-nigh exhausted.  Seeing himself lost, he climbed up agiant pine tree and sat there to see what he could see.The Assassins tried to climb also, but they slipped and fell.","After running seven miles or so, Pinocchio was well-nigh exhausted.  Seeing himself lo"
485,"Far from giving up the chase, this only spurred them on.They gathered a bundle of wood, piled it up at thefoot of the pine, and set fire to it.  In a twinkling thetree began to sputter and burn like a candle blown bythe wind.  Pinocchio saw the flames climb higher andhigher.  Not wishing to end his days as a roastedMarionette, he jumped quickly to the ground and off he went,the Assassins close to him, as before.",Far from giving 
486,"Dawn was breaking when, without any warning whatsoever,Pinocchio found his path barred by a deep pool fullof water the color of muddy coffee.","Dawn was breaking when, without any "
487,"What was there to do?  With a ""One, two, three!""he jumped clear across it.  The Assassins jumped also,but not having measured their distance well--splash!!!--they fell right into the middle of the pool.  Pinocchiowho heard the splash and felt it, too, cried out, laughing,but never stopping in his race:","What was there to do?  With a ""One, two, three!""he jumped clear across it.  The Assassins jumped also,but not having measured their distance well--splash!!!--they fell right into the middle of the pool.  Pinocchiowho heard the splash and felt it, too, cried o"
488,"""A pleasant bath to you, signori!""","""A plea"
489,"He thought they must surely be drowned and turnedhis head to see.  But there were the two somber figuresstill following him, though their black sacks were drenchedand dripping with water.",He thought they must surely be drowned and turnedhis head to se
490,CHAPTER 15,CH
491,"The Assassins chase Pinocchio, catch him,and hang him to the branch of a giant oak tree",The 
492,"As he ran, the Marionette felt more and more certain thathe would have to give himself up into the hands of hispursuers.  Suddenly he saw a little cottage gleaming whiteas the snow among the trees of the forest.","As he ran, the Marionette felt more and more certain thathe would have to give himself up into the hands of hispursuers.  Suddenly he saw a li"
